BGC,SS_NoSpace,Spp,ESuit,Use,Changes
BWBSwk2,BWBSwk2/102,Sx,3,B2,
BWBSwk2,BWBSwk2/111,Acb,3,D6,
BWBSwk2,BWBSwk2/111,Pl,2,D6,
BWBSwk2,BWBSwk2/111,Sx,1,D6,
BWBSwk3,BWBSwk3/101,Acb,3,C4,
BWBSwk3,BWBSwk3/101,At,3,C4,
BWBSwk3,BWBSwk3/101,Bl,2,C4,
BWBSwk3,BWBSwk3/101,Ep,3,C4,
BWBSwk3,BWBSwk3/101,Pl,2,C4,
BWBSwk3,BWBSwk3/101,Sb,3,C4,
BWBSwk3,BWBSwk3/101,Sx,1,C4,
BWBSwk3,BWBSwk3/102,At,3,B2,
BWBSwk3,BWBSwk3/102,Bl,3,B2,
BWBSwk3,BWBSwk3/102,Pl,3,B2,
BWBSwk3,BWBSwk3/102,Sb,3,B2,
BWBSwk3,BWBSwk3/102,Sx,2,B2,
BWBSwk3,BWBSwk3/110,Acb,3,D6,
BWBSwk3,BWBSwk3/110,Bl,2,D6,
BWBSwk3,BWBSwk3/110,Lt,2,D6,
BWBSwk3,BWBSwk3/110,Pl,3,D6,
BWBSwk3,BWBSwk3/110,Sb,2,D6,
BWBSwk3,BWBSwk3/110,Sx,1,D6,
CCHun_CA,CCHun_CA/101,Ol,1,C4,
CCHun_CA,CCHun_CA/101,Qb,1,C4,
CCHun_CA,CCHun_CA/101,Qc,1,C4,
CCHun_CA,CCHun_CA/101,Qd,1,C4,
CCHun_CA,CCHun_CA/101,Qx,1,C4,
CCHun_CA,CCHun_CA/101,Qz,1,C4,
CCHun_CA,CCHun_CA/111,On,1,D6,
CCHun_CA,CCHun_CA/111,Pc,1,D6,
CCHun_CA,CCHun_CA/111,Qd,1,D6,
CCHun_CA,CCHun_CA/Gs,X,1,B2,
CDFmm,CDFmm/01,Fd,1,B2,
CDFmm,CDFmm/01,Bg,3,B2,
CDFmm,CDFmm/01,Cw,3,B2,
CDFmm,CDFmm/01,Dr,3,B2,
CDFmm,CDFmm/01,Mb,2,B2,
CDFmm,CDFmm/01,Pl,3,B2,
CDFmm,CDFmm/01,Qg,2,B2,3 to 2
CDFmm,CDFmm/01,Ra,2,B2,
CDFmm,CDFmm/01,Bg,3,C4,
CDFmm,CDFmm/01,Cw,3,C4,
CDFmm,CDFmm/01,Dr,3,C4,
CDFmm,CDFmm/01,Fd,1,C4,
CDFmm,CDFmm/01,Mb,2,C4,
CDFmm,CDFmm/01,Pl,3,C4,
CDFmm,CDFmm/01,Qg,3,C4,
CDFmm,CDFmm/01,Ra,2,C4,
CDFmm,CDFmm/06,Act,2,D6,
CDFmm,CDFmm/06,Bg,1,D6,
CDFmm,CDFmm/06,Cw,1,D6,
CDFmm,CDFmm/06,Dr,2,D6,
CDFmm,CDFmm/06,Fd,1,D6,
CDFmm,CDFmm/06,Mb,2,D6,
CDFmm,CDFmm/06,Qg,3,D6,
CDFmm,CDFmm/06,Ra,5,D6,
CDFmm,CDFmm/06,Hw,3,D6,
CDFmm,CDFmm/06,Pw,3,D6,
CDFmm_OR,CDFmm_OR/101,Bg,3,C4,
CDFmm_OR,CDFmm_OR/101,Dr,3,C4,
CDFmm_OR,CDFmm_OR/101,Fd,1,C4,
CDFmm_OR,CDFmm_OR/101,Gp,5,C4,
CDFmm_OR,CDFmm_OR/101,Mb,2,C4,
CDFmm_OR,CDFmm_OR/101,Oa,3,C4,
CDFmm_OR,CDFmm_OR/101,Oy,5,C4,
CDFmm_OR,CDFmm_OR/101,Py,3,C4,
CDFmm_OR,CDFmm_OR/101,Ra,3,C4,
CDFmm_OR,CDFmm_OR/103,Fd,1,B2,
CDFmm_OR,CDFmm_OR/103,Bg,3,B2,
CDFmm_OR,CDFmm_OR/103,Mb,3,B2,
CDFmm_OR,CDFmm_OR/103,Py,3,B2,
CDFmm_OR,CDFmm_OR/103,Qb,2,B2,
CDFmm_OR,CDFmm_OR/103,Qg,1,B2,
CDFmm_OR,CDFmm_OR/103,Ra,2,B2,
CDFmm_OR,CDFmm_OR/113,Act,2,D6,1 to 2
CDFmm_OR,CDFmm_OR/113,Bg,2,D6,
CDFmm_OR,CDFmm_OR/113,Cw,1,D6,
CDFmm_OR,CDFmm_OR/113,Dr,1,D6,
