BGC,Unit,Spp,ESuit
BWBSlb,BWBSlb/i,Sb,1
BWBSlb,BWBSlb/j,Lt,1
BWBSlb,BWBSlb/j,Sx,3
BWBSlf,BWBSlf/b,Pl,1
BWBSlf,BWBSlf/b,Sb,2
BWBSlf,BWBSlf/b,Sx,3
BWBSlf,BWBSlf/c,Acb,3
BWBSlf,BWBSlf/c,At,1
BWBSlf,BWBSlf/c,Ep,3
BWBSlf,BWBSlf/c,Pl,1
BWBSlf,BWBSlf/c,Sb,3
BWBSlf,BWBSlf/c,Sx,1
BWBSlf,BWBSlf/d,Pl,1
BWBSlf,BWBSlf/d,Sb,2
BWBSlf,BWBSlf/e,Acb,2
BWBSlf,BWBSlf/e,At,1
BWBSlf,BWBSlf/e,Bb,2
BWBSlf,BWBSlf/e,Bl,2
BWBSlf,BWBSlf/e,Ep,3
BWBSlf,BWBSlf/e,Pl,1
BWBSlf,BWBSlf/e,Sb,3
BWBSlf,BWBSlf/e,Sx,1
BWBSlf,BWBSlf/f,Acb,2
BWBSlf,BWBSlf/f,At,1
BWBSlf,BWBSlf/f,Bb,3
BWBSlf,BWBSlf/f,Bl,3
BWBSlf,BWBSlf/f,Ep,2
BWBSlf,BWBSlf/f,Pl,1
BWBSlf,BWBSlf/f,Sb,3
BWBSlf,BWBSlf/f,Sx,1
BWBSlf,BWBSlf/h,Pl,1
BWBSlf,BWBSlf/h,Sb,1
BWBSlf,BWBSlf/h,Sx,3
BWBSlf,BWBSlf/i,Acb,2
BWBSlf,BWBSlf/i,At,1
BWBSlf,BWBSlf/i,Bb,3
BWBSlf,BWBSlf/i,Bl,3
BWBSlf,BWBSlf/i,Ep,3
BWBSlf,BWBSlf/i,Pl,2
BWBSlf,BWBSlf/i,Sx,1
BWBSlf,BWBSlf/j,Sb,1
BWBSlf,BWBSlf/j,Sx,2
BWBSlf,BWBSlf/k,Sb,2
BWBSlf,BWBSlf/l,Lt,1
BWBSlf,BWBSlf/l,Sb,1
BWBSlf,BWBSlf/m,Lt,1
BWBSlf,BWBSlf/m,Sb,2
BWBSmk,BWBSmk/101,Acb,3
BWBSmk,BWBSmk/101,At,1
BWBSmk,BWBSmk/101,Ep,2
BWBSmk,BWBSmk/101,Pl,1
BWBSmk,BWBSmk/101,Sb,3
BWBSmk,BWBSmk/101,Sx,1
BWBSmk,BWBSmk/102,At,3
BWBSmk,BWBSmk/102,Pl,2
BWBSmk,BWBSmk/102,Sb,3
BWBSmk,BWBSmk/102,Sx,3
BWBSmk,BWBSmk/103,At,2
BWBSmk,BWBSmk/103,Ep,2
BWBSmk,BWBSmk/103,Pl,1
BWBSmk,BWBSmk/103,Sx,1
BWBSmk,BWBSmk/104,At,3
BWBSmk,BWBSmk/104,Lt,2
BWBSmk,BWBSmk/104,Pl,2
BWBSmk,BWBSmk/104,Sb,1
BWBSmk,BWBSmk/104,Sx,1
BWBSmk,BWBSmk/110,Acb,2
BWBSmk,BWBSmk/110,At,3
BWBSmk,BWBSmk/110,Ep,3
BWBSmk,BWBSmk/110,Pl,2
BWBSmk,BWBSmk/110,Sb,3
BWBSmk,BWBSmk/110,Sx,1
BWBSmk,BWBSmk/111,Acb,2
BWBSmk,BWBSmk/111,At,3
BWBSmk,BWBSmk/111,Ep,3
BWBSmk,BWBSmk/111,Pl,2
BWBSmk,BWBSmk/111,Sb,3
BWBSmk,BWBSmk/111,Sx,1
BWBSmw,BWBSmw/101,Acb,3
BWBSmw,BWBSmw/101,At,1
BWBSmw,BWBSmw/101,Ep,3
BWBSmw,BWBSmw/101,Pl,1
BWBSmw,BWBSmw/101,Sb,3
BWBSmw,BWBSmw/101,Sx,1
BWBSmw,BWBSmw/102,At,2
BWBSmw,BWBSmw/102,Pl,2
BWBSmw,BWBSmw/102,Sx,3
BWBSmw,BWBSmw/103,At,1
BWBSmw,BWBSmw/103,Pl,1
BWBSmw,BWBSmw/103,Sx,2
BWBSmw,BWBSmw/104,At,3
BWBSmw,BWBSmw/104,Pl,1
BWBSmw,BWBSmw/104,Sb,2
BWBSmw,BWBSmw/104,Sx,3
BWBSmw,BWBSmw/110,Acb,2
BWBSmw,BWBSmw/110,At,2
BWBSmw,BWBSmw/110,Ep,3
BWBSmw,BWBSmw/110,Pl,2
BWBSmw,BWBSmw/110,Sb,3
BWBSmw,BWBSmw/110,Sx,1
BWBSmw,BWBSmw/111,Acb,2
BWBSmw,BWBSmw/111,Pl,2
BWBSmw,BWBSmw/111,Sx,1
BWBSnm,BWBSnm/a,Pj,1
BWBSnm,BWBSnm/b,At,1
BWBSnm,BWBSnm/b,Ep,3
BWBSnm,BWBSnm/b,Pj,2
BWBSnm,BWBSnm/b,Sb,3
BWBSnm,BWBSnm/b,Sx,1
BWBSnm,BWBSnm/c,Pj,1
BWBSnm,BWBSnm/c,Sb,2
BWBSnm,BWBSnm/d,Acb,3
BWBSnm,BWBSnm/d,At,1
BWBSnm,BWBSnm/d,Bb,3
BWBSnm,BWBSnm/d,Ep,3
BWBSnm,BWBSnm/d,Sb,3
BWBSnm,BWBSnm/d,Sx,1
BWBSnm,BWBSnm/e,Acb,1
BWBSnm,BWBSnm/e,At,1
BWBSnm,BWBSnm/e,Bb,3
BWBSnm,BWBSnm/e,Ep,3
BWBSnm,BWBSnm/e,Sx,1
BWBSnm,BWBSnm/f,Acb,2
BWBSnm,BWBSnm/f,At,2
BWBSnm,BWBSnm/f,Bb,3
BWBSnm,BWBSnm/f,Ep,3
BWBSnm,BWBSnm/f,Sx,1
BWBSnm,BWBSnm/g,Pj,2
BWBSnm,BWBSnm/g,Sb,1
BWBSnm,BWBSnm/h,Ep,3
BWBSnm,BWBSnm/h,Sb,1
BWBSnm,BWBSnm/h,Sx,1
BWBSnm,BWBSnm/i,Sb,1
BWBSnm,BWBSnm/j,Lt,2
BWBSnm,BWBSnm/j,Sb,1
BWBSnm,BWBSnm/k,Lt,1
BWBSnm,BWBSnm/k,Sb,3
BWBSpp,BWBSpp/a,Pj,1
BWBSpp,BWBSpp/a,Pl,1
BWBSpp,BWBSpp/b,At,3
BWBSpp,BWBSpp/b,Ep,3
BWBSpp,BWBSpp/b,Pj,2
BWBSpp,BWBSpp/b,Pl,1
BWBSpp,BWBSpp/b,Sb,3
BWBSpp,BWBSpp/b,Sx,2
BWBSpp,BWBSpp/c,Pj,1
BWBSpp,BWBSpp/c,Pl,1
BWBSpp,BWBSpp/c,Sb,2
BWBSpp,BWBSpp/d,Acb,3
BWBSpp,BWBSpp/d,At,1
BWBSpp,BWBSpp/d,Bb,3
BWBSpp,BWBSpp/d,Ep,3
BWBSpp,BWBSpp/d,Pl,1
BWBSpp,BWBSpp/d,Sb,3
BWBSpp,BWBSpp/d,Sx,1
BWBSpp,BWBSpp/e,Acb,1
BWBSpp,BWBSpp/e,At,1
BWBSpp,BWBSpp/e,Bb,3
BWBSpp,BWBSpp/e,Ep,3
BWBSpp,BWBSpp/e,Sx,1
BWBSpp,BWBSpp/f,Acb,2
BWBSpp,BWBSpp/f,At,2
BWBSpp,BWBSpp/f,Bb,3
BWBSpp,BWBSpp/f,Ep,2
BWBSpp,BWBSpp/f,Sx,1
BWBSpp,BWBSpp/g,Pj,2
BWBSpp,BWBSpp/g,Pl,2
BWBSpp,BWBSpp/g,Sb,1
BWBSpp,BWBSpp/h,Ep,3
BWBSpp,BWBSpp/h,Sb,1
BWBSpp,BWBSpp/h,Sx,1
BWBSpp,BWBSpp/i,Sb,1
BWBSpp,BWBSpp/j,Lt,2
BWBSpp,BWBSpp/j,Sb,1
BWBSpp,BWBSpp/k,Lt,1
BWBSpp,BWBSpp/k,Sb,3
BWBSub,BWBSub/a,Pj,1
BWBSub,BWBSub/b,At,1
BWBSub,BWBSub/b,Ep,3
BWBSub,BWBSub/b,Pj,2
BWBSub,BWBSub/b,Sb,3
BWBSub,BWBSub/b,Sx,2
BWBSub,BWBSub/c,At,3
BWBSub,BWBSub/c,Pj,1
BWBSub,BWBSub/c,Sb,1
BWBSub,BWBSub/d,Acb,3
BWBSub,BWBSub/d,At,1
BWBSub,BWBSub/d,Bb,3
BWBSub,BWBSub/d,Ep,3
BWBSub,BWBSub/d,Pj,3
BWBSub,BWBSub/d,Sb,2
BWBSub,BWBSub/d,Sx,1
BWBSub,BWBSub/e,At,3
BWBSub,BWBSub/e,Bb,2
BWBSub,BWBSub/e,Ep,2
BWBSub,BWBSub/e,Sx,1
BWBSub,BWBSub/f,Bb,3
